r_e_calculated nPrimVtx avgMu clusterE clusterPt clusterPhi cluster_MASS cluster_sumCellE cluster_time cluster_fracE cluster_PTD cluster_ISOLATION cluster_FIRST_ETA cluster_FIRST_PHI cluster_FIRST_ENG_DENS cluster_SECOND_TIME cluster_SECOND_R cluster_SECOND_LAMBDA cluster_SECOND_ENG_DENS cluster_CENTER_LAMBDA cluster_CENTER_MAG cluster_CENTER_X cluster_CENTER_Y cluster_CENTER_Z cluster_ENG_BAD_CELLS cluster_ENG_BAD_HV_CELLS cluster_ENG_FRAC_EM cluster_ENG_FRAC_MAX cluster_ENG_FRAC_CORE cluster_ENG_POS cluster_DELTA_THETA cluster_DELTA_PHI cluster_CELL_SIGNIFICANCE cluster_CELL_SIG_SAMPLING cluster_N_BAD_CELLS cluster_BAD_CELLS_CORR_E cluster_LONGITUDINAL cluster_LATERAL cluster_SIGNIFICANCE nCluster cluster_N_BAD_HV_CELLS cluster_nCells cluster_nCells_tot r_e_predec cluster_ENG_CALIB_TOT cluster_ENG_TOT_frompred clusterECalib
1.0022885 20 40.5 30.713408 17.840351 1.1232932 0.8184826 44.266075 0.5122099 8.435977e-05 0.35702333 0.2659552 1.1383942 1.1223291 5.2531286e-06 0.79718983 5909.8057 20512.871 5.605393e-11 295.06946 2839.4895 714.9135 1486.404 2311.3206 0.0 6.230274 0.92805874 0.33260897 0.38988602 31.09908 0.03496901 0.32369623 136.0328 2.0 0.0 0.0 0.8207194 0.89380836 46.797432 10 7.0 106 116 1.0591924 30.64328 28.997005643167384 30.719202
0.986453 18 30.500002 5.217894 1.7601509 2.3004005 0.14064975 8.069081 -4.752067 1.518523e-05 0.5208036 0.72256744 -1.7501576 2.3002248 1.9281615e-07 0.0 15131.6875 22353.1 5.811328e-14 904.2451 4781.683 -1073.0775 1205.1449 -4501.18 0.0 0.0 0.023610063 0.47430193 0.5989268 5.318419 0.24814615 0.3332188 4.536033 8.0 0.0 0.0 0.77162397 0.61240435 3.2282066 23 0.0 13 17 0.85342807 5.2895517 6.114040753311524 5.21613
1.012793 22 41.5 5.8761554 2.7736259 2.8723118 0.3328685 10.785227 3.0085762 0.00012575978 0.38296038 0.14551964 1.3760238 2.8764317 8.093328e-08 29.531975 42094.34 265162.25 2.9675166e-14 5409.492 5010.923 -2286.5605 619.2311 4415.602 0.0 0.0 0.10206985 0.28819403 0.38854256 7.2425985 0.30750674 -0.3945424 8.382134 18.0 0.0 0.0 0.7571664 0.9434256 4.9914603 12 0.0 37 72 0.84592855 5.8019314 6.94639683221473 5.876197
0.9982538 17 31.499998 19.915874 18.166702 -1.4035363 1.1762427 31.000448 -0.049488977 0.00017158053 0.20144571 0.5439004 -0.435833 -1.405365 2.09287e-06 1.7926055 11522.275 19104.652 9.560698e-12 196.17093 1827.6276 274.50375 -1643.256 -751.38544 0.0 2.2957435 0.9104975 0.14593297 0.22052763 20.517801 -0.0544838 0.33285758 45.233593 2.0 0.0 0.0 0.8414869 0.9687407 28.648016 15 8.0 135 168 1.0271285 19.950712 19.3898562838048 19.920256
1.0147598 23 50.5 10.559641 3.488324 -0.19122861 0.17038555 13.5039215 -0.28571692 0.00010303332 0.23290695 0.37800208 1.7733089 -0.18731897 6.2222775e-06 0.7503617 3641.5178 17751.922 8.914031e-11 144.87016 4113.1606 1333.2896 -252.30661 3882.8818 0.0 0.0 0.911924 0.124011286 0.2837597 11.390705 -0.055786468 0.02233523 26.689857 5.0 0.0 0.0 0.85372 0.89398086 10.453466 7 0.0 77 104 0.9762231 10.40605 10.816831726272406 10.55875
0.98439884 29 54.5 8.111009 8.105851 2.521016 0.9231804 12.579324 0.43478027 8.884956e-05 0.15785915 0.5314242 -0.035121407 2.5229282 1.0945992e-06 16.609804 30824.646 13597.114 4.7931975e-12 154.87466 1648.3427 -1343.3536 953.40204 -58.81543 0.0 0.8803569 0.9248595 0.07769597 0.19807339 8.854469 -0.03410005 0.26063487 29.264643 1.0 0.0 0.0 0.891866 0.8663004 13.8676605 14 7.0 138 191 1.0494381 8.239555 7.728906545321729 8.109855
0.9779382 9 27.5 5.829292 2.4856405 -1.60417 0.14865448 12.141206 0.46723658 5.9456914e-05 0.20351572 0.7897961 1.4969302 -1.60898 4.279659e-07 13.316035 9805.058 82279.26 3.6651032e-13 257.93817 4395.085 -72.119804 -1873.2694 3975.2273 0.0 0.0 0.929466 0.11048224 0.24941431 6.322502 -0.060430158 -0.014937251 8.052217 5.0 0.0 0.0 0.97739375 0.95231205 7.7031655 8 0.0 64 85 0.88931066 5.960798 6.554843276026849 5.825785
0.9801974 18 25.5 7.7586465 1.9887025 -1.6240113 0.07785898 14.737419 -0.024613202 0.00012210071 0.32280067 0.7233452 -2.0364242 -1.624027 3.9893707e-06 0.23777092 1682.7561 13440.942 2.494272e-11 386.70657 4270.982 -58.44395 -1094.6072 -4127.918 0.0 0.0 0.9900601 0.21576814 0.39362037 8.122754 -0.03408248 -0.041814655 28.929014 7.0 0.0 0.0 0.7057616 0.73563176 9.019805 9 0.0 33 45 0.8931356 7.9153914 8.686974855777779 7.757848
1.0144999 17 31.499998 11.844344 9.654283 3.0029585 0.78597164 23.894453 0.2749116 4.2859312e-05 0.25998965 0.640782 0.6610187 3.0030677 7.18891e-07 1.6897298 14952.504 204034.78 1.8205147e-12 336.25293 2185.6362 -1763.6914 250.18115 1266.4152 0.0 3.2023675 0.5603759 0.22053705 0.3868444 12.761874 -0.035722498 0.035204634 20.529795 1.0 0.0 0.0 0.26630867 0.8982979 16.195494 10 11.0 126 174 1.1171827 11.675056 10.60197584513258 11.84131
1.0049816 21 51.500004 8.355691 6.8815894 0.78023094 0.39206043 11.741205 0.30671597 5.760226e-05 0.23092747 0.42956436 0.6428644 0.77896094 1.2615479e-06 7.3420844 7789.6885 22895.225 4.115512e-12 230.18942 2037.6687 1194.1902 1178.4285 1156.4211 0.0 0.5659191 0.9405052 0.15867585 0.2988035 8.753256 0.059899103 -0.013590657 25.801321 1.0 0.0 0.0 0.8994217 0.95087385 16.115898 13 5.0 82 115 0.9232507 8.314272 9.050294789920008 8.356864
1.0148258 24 35.5 8.432478 7.7737584 1.6307573 0.521668 12.06687 -0.7402302 4.809117e-05 0.18774998 0.41537982 0.40751532 1.6417812 9.834406e-07 13.935827 10127.366 15173.055 2.059007e-12 191.28473 1801.189 -118.40959 1656.7565 696.72 0.0 0.6401963 0.94484895 0.098518394 0.1665112 9.368209 0.0006866902 -0.34303454 18.054617 1.0 0.0 0.0 0.853912 0.97199154 14.772962 12 7.0 108 158 0.9200296 8.309286 9.165442068385625 8.433434
7.168158 29 47.5 11.089546 1.2619175 -1.1839339 0.13176866 162.24118 0.0 0.0005741595 0.5799281 0.7894737 -2.8375576 -1.1841509 6.8130403e-06 0.0 1001.5179 0.010763386 5.5949162e-11 205.30815 3978.3728 175.0474 -430.06302 -3951.1838 0.0 0.0 1.0 0.46855208 0.46855208 17.035875 0.106912896 3.1305144 4.180994 6.0 0.0 0.0 1.4122975e-06 0.30567884 1.8399696 2 0.0 5 10 1.0473925 1.5470566 10.58776533152567 1.4080443
0.99476296 15 28.5 5.5886188 4.2873564 3.128007 0.35130757 9.71578 1.0876476 7.3674986e-05 0.4212248 0.7523204 0.76273835 3.1285174 1.6162737e-07 4.783612 19412.184 248895.0 6.441647e-14 806.5347 2806.7893 -2153.239 21.235508 1800.3271 0.0 0.25107482 0.32908484 0.32534614 0.40906757 6.922655 -0.067469925 0.0049049193 13.878671 12.0 0.0 0.0 0.6929117 0.56942624 7.1220016 8 4.0 71 121 0.8669148 5.6180406 6.446560607801366 5.5895295
0.99490124 11 29.5 11.673443 9.210207 -0.54721236 1.7126353 22.512394 0.6278507 0.00020607779 0.21928015 0.75146824 0.70821047 -0.5492247 1.12826754e-07 78.64925 196623.88 372393.22 4.8359974e-14 1063.137 3072.0776 2083.3213 -1260.2358 1873.2961 0.0 0.0 0.30227685 0.14391774 0.33626044 13.337423 -0.1586705 -0.02826412 20.722828 13.0 0.0 0.0 0.84743047 0.9867354 8.813719 13 0.0 119 182 0.8536272 11.733268 13.67510665077214 11.674399
0.9673538 26 46.500004 5.0851603 4.6197853 -2.2571447 0.3853608 8.223881 2.1912699 0.00038861108 0.1871561 0.7090459 0.44556603 -2.2585979 5.003944e-07 28.951225 14654.681 10226.588 6.218903e-13 222.34404 1885.444 -1086.7225 -1323.3787 789.0513 0.0 0.09785848 0.9875403 0.07809548 0.14167117 6.0613585 -0.12017852 -0.16430794 11.876985 1.0 0.0 0.0 0.8738521 0.8244509 9.137082 4 4.0 87 141 0.9781758 5.256774 5.198615933863831 5.0827284
0.9935354 60 88.5 23.816475 7.472092 1.4327105 0.28273356 26.772017 0.30371597 2.5013487e-05 0.33863702 0.07063863 1.8266639 1.4334767 1.2772635e-05 0.3925081 1906.0726 11114.6455 3.1648054e-10 198.77655 4142.362 177.32828 1287.014 3933.3586 0.0 0.0 0.9969437 0.21560082 0.33705652 24.016865 -0.06420181 -0.5092278 51.561657 5.0 0.0 0.0 0.6886042 0.72520715 29.55815 17 0.0 51 60 1.0494089 23.971441 22.69513342225323 23.809431
1.0079025 17 28.5 13.320142 11.034646 -2.5749855 0.98289484 20.022438 0.17324533 5.186798e-05 0.16474834 0.6435726 0.63402736 -2.5822017 1.1977954e-06 9.283341 23594.193 241381.48 5.265404e-12 342.98984 2187.2412 -1538.6632 -960.3855 1222.3746 0.0 0.9869963 0.8133359 0.081624195 0.28015497 15.029311 -0.15712398 0.041301277 33.6462 1.0 0.0 0.0 0.41247615 0.9895222 14.972524 11 8.0 154 217 0.92892355 13.215705 14.339330723179534 13.317663
1.0074596 33 43.499996 6.0556016 3.2390802 -0.6925084 0.20390387 11.3603945 -2.7370646 0.000121827055 0.24150576 0.5212634 -1.2338998 -0.69547766 5.1524927e-07 12.086268 8130.815 56870.453 4.6336963e-13 456.01804 3193.2659 1315.0673 -1097.0541 -2695.184 0.0 0.26167697 0.9899315 0.14868422 0.224178 7.3554726 -0.07429393 -0.1903549 13.661754 2.0 0.0 0.0 0.9536428 0.94523054 6.2128167 8 6.0 64 93 0.92831177 6.010763 6.523241216687364 6.0548515
0.98919183 17 26.5 11.76518 7.2425585 -1.7051452 0.3385149 17.525322 0.87310696 5.6189405e-05 0.20477548 0.3215316 -1.0665622 -1.7058604 5.825077e-07 6.79311 5493.686 34616.875 4.6147954e-13 283.9537 2709.7124 -223.547 -1651.9354 -2136.2764 0.0 1.448973 0.88548183 0.09313784 0.21185172 11.927677 -0.039207865 -0.11812671 12.988324 2.0 0.0 0.0 0.9367435 0.95018464 14.44482 11 4.0 94 110 0.9528733 11.893729 12.347056004192792 11.769884
1.0202734 34 61.500004 7.492329 6.4580555 1.9257808 0.18576148 8.518747 0.08670816 5.7533965e-05 0.30637717 0.10057949 -0.5572099 1.9259667 2.8271709e-06 4.4266887 2106.9668 15699.286 1.7025657e-11 188.29376 1919.8646 -576.33246 1552.3967 -971.4863 0.0 0.6406432 0.9476752 0.20213866 0.37271473 7.7719936 -0.037410114 -0.073681615 35.01606 1.0 0.0 0.0 0.7852124 0.8067237 21.493645 10 3.0 35 48 0.9878173 7.3434525 7.584731508549202 7.490671
1.0065553 25 48.5 6.218785 4.06729 0.013004998 0.19993216 11.230456 0.1572035 4.9655e-05 0.22042395 0.44684994 -0.9885575 0.016314419 1.9808156e-06 1.9624928 4487.9907 77879.1 8.0566664e-12 191.24886 2485.4358 1622.7323 23.188997 -1882.4436 0.0 1.6962954 0.88015246 0.11513239 0.29874486 6.598554 0.0077131465 0.20971498 33.742054 1.0 0.0 0.0 0.71188164 0.92344725 8.513773 10 3.0 68 89 0.9606865 6.178284 6.473271977903301 6.217311
7.8475127 23 34.5 5.23816 0.44528732 -1.291069 0.035433844 220.32349 0.6820739 0.00010551183 0.5243207 1.0 3.1668737 -1.3104873 9.054177e-06 0.0 297.16745 23423.014 1.1911576e-10 428.59424 4191.549 90.705696 -340.16418 4176.7383 0.0 0.0 0.8485551 0.43542883 0.7580403 8.065534 0.0208837 -0.536823 6.401638 7.0 0.0 0.0 0.66954035 0.21916169 1.3562479 8 0.0 5 11 0.9539776 0.66749305 5.490862678536686 0.6911517
1.0078013 19 26.5 18.33786 5.4923153 -0.065796345 0.1683247 23.302336 -0.15433098 0.00031430068 0.36263844 0.596192 1.8759164 -0.06634516 9.1623715e-06 0.23285614 1316.2417 7436.4873 1.3010386e-10 212.8706 4142.599 1237.2565 -82.381935 3952.6619 0.0 0.0 1.0 0.3042174 0.36486864 18.551226 0.008776553 0.14583631 51.41576 6.0 0.0 0.0 0.62745994 0.65044916 31.305355 10 0.0 43 53 1.0295162 18.19591 17.812114078438007 18.33305
